description	name	onlinefilter	samplingrate	status	type
sensor gradiometer	MEG1443	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1441	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1512	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1513	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1511	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1522	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1523	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1521	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1533	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1532	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1531	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1543	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1542	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1541	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1613	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1612	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1611	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1622	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1623	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1621	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1632	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1633	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1631	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1643	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1642	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1641	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1713	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1712	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1711	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1722	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1723	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1721	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1732	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1733	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1731	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1743	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1742	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1741	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1813	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1812	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1811	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1822	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1823	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1821	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1832	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1833	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1831	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1843	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1842	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1841	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1912	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1913	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1911	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1923	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1922	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1921	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1932	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1933	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1931	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1943	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1942	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1941	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2013	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2012	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2011	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2023	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2022	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2021	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2032	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2033	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2031	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2042	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2043	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2041	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2113	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2112	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2111	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2122	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2123	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2121	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2133	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2132	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2131	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2143	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2142	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2141	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2212	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2213	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2211	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2223	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2222	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2221	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2233	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2232	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2231	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2242	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2243	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2241	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2312	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2313	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2311	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2323	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2322	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2321	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2332	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2333	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2331	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2343	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2342	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2341	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2412	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2413	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2411	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2423	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2422	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2421	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2433	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2432	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2431	0.00-356.40	1100.000000	good	MEG
