name	type	description	samplingrate	lowpass	highpass	notch	softwarefilters	status
MEG1223	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1222	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1221	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1232	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1233	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1231	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1243	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1242	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1241	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1312	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1313	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1311	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1323	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1322	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1321	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1333	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1332	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1331	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1342	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1343	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1341	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1412	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1413	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1411	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1423	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1422	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1421	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1433	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1432	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1431	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1442	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1443	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1441	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1512	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1513	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1511	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1522	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1523	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1521	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1533	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1532	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1531	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1543	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1542	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1541	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1613	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1612	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1611	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1622	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1623	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1621	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1632	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1633	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1631	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1643	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1642	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1641	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1713	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1712	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1711	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1722	MEG	planar gradiometer	1100	350	0	0	tSSS	good
